,ip,nb_www,nb_com,nb_dslash,http_in_path,tld_in_path,tld_in_subdomain,abnormal_subdomain,nb_subdomains,prefix_suffix,shortening_service,nb_external_redirection,length_words_raw,char_repeat,shortest_words_raw,shortest_word_host,shortest_word_path,longest_words_raw,longest_word_host,longest_word_path,avg_words_raw,avg_word_host,avg_word_path,phish_hints,domain_in_brand,brand_in_subdomain,brand_in_path,suspecious_tld,statistical_report,nb_hyperlinks,ratio_intHyperlinks,ratio_extHyperlinks,ratio_extRedirection,ratio_extErrors,external_favicon,links_in_tags,ratio_intMedia,ratio_extMedia,popup_window,safe_anchor,empty_title,domain_in_title,domain_with_copyright,whois_registered_domain,domain_registration_length,domain_age,web_traffic,dns_record,google_index,page_rank,f1,f2,f4,f5,f6,f7,f8,f10,f11,f14,f16,f18,f25,f26,f27
9859,0,1,0,0,0,0,0,0,2,1,0,0,3,3,3,3,0,7,7,0,5.333333333,5.333333333,0.0,0,0,0,0,0,0,37,0.891891892,0.108108108,0.0,0.0,0,63.63636364,100.0,0.0,0,0.0,0,1,1,0,1202,6467,37793,0,0,4,31,22,2,1,0,0,0,0,0,3,1,0,True,0.0,0.0
10168,1,0,0,0,0,0,0,0,3,0,0,0,8,40,2,5,2,43,6,43,14.0,5.5,16.83333333,0,0,0,0,0,0,9,0.0,1.0,0.0,0.0,1,0.0,0.0,0.0,0,0.0,0,1,0,0,272,7764,32,0,0,5,132,16,3,0,0,1,0,1,2,4,1,0,True,0.03787878787878788,0.0
7492,0,0,0,0,0,0,0,0,2,0,0,0,3,0,4,6,4,7,6,7,5.666666667,6.0,5.5,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,1,1,0,0,658,2629,0,0,1,0,33,12,2,0,0,0,0,0,0,5,1,0,False,0.0,0.0
5597,0,1,0,0,0,0,0,0,3,0,0,0,4,3,3,3,4,9,9,7,5.75,6.0,5.5,0,0,0,0,0,0,81,0.851851852,0.148148148,0.25,0.0,1,70.0,100.0,0.0,0,20.0,0,1,0,0,534,5309,111086,0,0,4,39,19,4,0,0,0,0,0,0,3,1,0,False,0.0,0.0
548,0,0,1,0,0,0,0,0,1,1,0,0,14,1,2,11,2,31,11,31,9.714285714,11.0,9.615384615,2,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,1,1,0,0,341,23,0,0,1,0,163,15,1,1,0,1,2,4,1,8,1,2,True,0.12269938650306748,0.0
542,0,0,0,0,0,0,0,0,2,0,0,0,3,0,2,2,7,7,7,7,5.333333333,4.5,7.0,0,0,0,0,0,0,28,1.0,0.0,0.0,0.0,0,100.0,0.0,0.0,0,0.0,0,0,0,0,2597,2881,5754,0,1,4,29,14,2,0,0,0,0,0,0,3,1,0,False,0.034482758620689655,0.0
8226,0,1,0,0,0,0,0,0,2,0,0,0,2,3,3,3,0,10,10,0,6.5,6.5,0.0,0,0,0,0,0,0,11,0.727272727,0.272727273,0.0,0.333333333,0,0.0,0.0,0.0,0,71.42857143,0,1,1,0,336,2221,901805,0,0,2,26,18,2,0,0,0,0,0,0,3,1,0,False,0.0,0.0
4998,0,0,0,0,0,0,0,0,3,0,0,0,5,1,1,1,4,11,9,11,5.4,4.0,7.5,0,1,0,0,0,0,517,0.936170213,0.063829787,0.212121212,0.272727273,0,100.0,100.0,0.0,0,75.55555556,0,0,0,0,902,7133,12,0,1,7,43,18,3,0,0,0,0,0,0,4,1,0,True,0.0,0.0
11417,0,1,0,0,0,0,0,0,3,1,1,0,7,7,3,3,4,15,15,9,7.428571429,9.0,6.8,0,0,0,0,0,0,27,0.925925926,0.074074074,0.0,0.0,0,71.42857143,0.0,0.0,0,100.0,0,1,1,0,150,3138,33758,0,0,4,69,23,3,1,0,0,0,0,0,5,1,0,False,0.07246376811594203,0.0
9656,1,0,0,0,0,0,0,0,3,1,0,0,23,15,2,8,2,32,8,32,11.56521739,8.0,11.72727273,4,0,0,0,0,0,17,0.705882353,0.294117647,0.0,0.0,1,33.33333333,75.0,25.0,0,100.0,0,1,1,0,69,-1,0,0,1,0,303,15,3,1,0,1,6,6,0,9,1,6,True,0.2871287128712871,0.0
9177,0,0,0,0,0,0,0,0,3,0,0,0,12,1,2,4,2,10,4,10,5.416666667,4.0,5.545454545,3,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,1,1,0,1,0,-1,0,0,1,2,90,11,4,0,0,0,0,0,0,11,1,0,False,0.0,0.0
7693,0,0,1,0,0,1,0,0,3,0,0,0,5,3,3,12,3,12,12,9,7.0,12.0,5.75,1,0,0,0,0,0,155,0.941935484,0.058064516,0.444444444,0.222222222,1,95.91836735,100.0,0.0,0,60.0,0,1,1,0,148,3140,0,0,1,3,50,16,3,0,0,0,0,0,0,4,1,0,False,0.06,0.0
7427,0,1,0,0,0,0,0,0,2,0,0,0,2,4,3,3,0,11,11,0,7.0,7.0,0.0,0,0,0,0,0,0,4,1.0,0.0,0.0,0.0,0,100.0,0.0,0.0,0,0.0,0,1,0,0,639,8492,1121373,0,0,4,27,19,2,0,0,0,0,0,0,3,1,0,False,0.0,0.0
4126,0,0,0,0,0,0,0,0,3,0,0,0,8,1,2,4,2,40,10,40,9.0,7.0,9.666666667,0,0,0,0,0,0,43,0.627906977,0.372093023,0.3125,0.0,1,44.44444444,100.0,0.0,0,58.33333333,0,1,1,0,231,134,1510715,0,1,2,91,19,3,0,0,1,0,1,0,4,1,0,True,0.12087912087912088,0.0
890,0,0,0,0,0,0,0,0,1,0,1,0,4,0,3,3,3,7,3,7,4.75,3.0,5.333333333,0,0,0,0,0,0,8,0.625,0.375,0.333333333,0.666666667,0,100.0,100.0,0.0,0,25.0,0,1,0,0,0,-1,3504,0,1,9,32,6,1,2,0,0,0,0,0,3,1,0,False,0.0,0.0
9490,1,0,0,0,0,0,0,0,3,0,0,0,6,3,4,10,4,32,10,32,11.16666667,10.0,11.4,1,0,0,0,0,0,3,1.0,0.0,0.0,0.0,0,100.0,0.0,0.0,0,0.0,0,1,0,1,0,-1,8661090,0,1,1,86,17,3,0,0,0,0,0,0,6,1,0,False,0.2558139534883721,0.0
195,0,0,0,0,0,0,0,0,2,0,0,0,9,1,2,2,2,13,9,13,5.0,5.5,4.857142857,0,1,0,0,0,0,822,0.903892944,0.096107056,0.291139241,0.050632911,0,100.0,100.0,0.0,0,63.92694064,0,0,0,0,901,7133,12,0,0,7,65,16,2,0,0,0,0,0,5,4,1,0,True,0.0,0.0
4487,0,0,0,0,0,0,0,0,1,0,0,0,2,0,2,18,2,18,18,2,10.0,18.0,2.0,0,0,0,0,0,0,8,0.125,0.875,0.0,0.0,1,33.33333333,0.0,100.0,0,0.0,0,1,0,0,291,440,0,0,1,0,33,22,1,0,0,0,0,0,0,4,1,0,False,0.0,0.0
11251,0,1,0,0,0,0,0,0,2,0,0,0,2,3,3,3,0,9,9,0,6.0,6.0,0.0,0,0,0,0,0,0,265,0.826415094,0.173584906,0.195652174,0.0,1,52.0,100.0,0.0,0,3.125,0,0,0,0,0,-1,55513,0,0,5,25,16,2,0,0,0,0,0,0,3,1,0,True,0.0,0.0
10702,0,0,0,0,0,0,0,0,1,0,0,0,2,2,4,4,9,9,4,9,6.5,4.0,9.0,0,0,0,0,0,0,57,0.912280702,0.087719298,0.0,0.2,0,91.66666667,100.0,0.0,0,20.0,0,0,1,0,0,920,11781,0,1,6,25,7,1,0,0,0,0,0,0,3,1,0,True,0.08,0.0
2579,0,1,1,0,0,1,0,0,2,0,0,0,7,3,3,3,3,11,11,8,5.285714286,7.0,4.6,0,0,0,0,0,0,14,0.5,0.5,0.142857143,0.0,0,80.0,0.0,100.0,0,42.85714286,0,0,0,0,174,4209,66570,0,0,5,55,19,2,3,0,0,0,0,0,5,1,0,False,0.0,0.0
6082,0,1,0,0,0,0,0,0,2,0,0,0,2,3,2,2,0,3,3,0,2.5,2.5,0.0,0,0,0,0,0,0,203,0.97044335,0.02955665,0.333333333,0.0,0,90.47619048,97.56097561,2.43902439,0,25.0,0,0,1,0,322,-1,96708,0,0,3,18,9,2,0,0,0,0,0,0,3,1,0,True,0.0,0.0
8246,0,0,1,0,0,0,0,0,2,1,0,0,9,0,3,4,3,11,7,11,6.777777778,5.5,7.142857143,0,0,0,0,0,0,24,0.583333333,0.416666667,0.0,0.0,1,40.0,100.0,0.0,0,0.0,0,1,0,0,85,4663,0,0,1,0,80,15,2,1,1,1,0,1,0,6,1,0,False,0.0,0.0
4121,0,1,0,0,0,0,0,0,2,1,0,0,3,3,3,3,0,8,8,0,5.666666667,5.666666667,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,1,1,0,0,137,229,0,0,1,0,31,23,2,1,0,0,0,0,0,3,1,0,False,0.0,0.0
8390,0,0,0,0,0,0,0,0,3,0,0,0,4,0,2,10,2,10,10,5,5.0,10.0,3.333333333,0,0,0,0,0,0,7,0.285714286,0.714285714,0.0,0.0,1,0.0,0.0,100.0,0,100.0,0,1,0,0,105,-1,6711761,0,1,0,38,17,3,0,0,0,0,0,0,4,1,0,True,0.0,0.0
8968,0,0,0,0,0,0,0,0,1,0,0,0,1,0,4,4,0,4,4,0,4.0,4.0,0.0,0,0,0,0,0,0,7,0.857142857,0.142857143,1.0,0.0,0,100.0,0.0,0.0,0,0.0,0,1,0,0,221,143,0,0,1,0,19,11,1,0,0,0,0,0,0,2,1,0,True,0.0,0.0
3368,0,1,0,0,0,0,0,0,2,0,0,0,2,5,3,3,0,13,13,0,8.0,8.0,0.0,0,0,0,0,0,0,253,0.873517787,0.126482213,0.3125,0.0,1,50.0,87.5,12.5,0,9.090909091,0,1,1,0,0,-1,1868666,0,0,2,29,20,2,0,0,0,0,0,0,3,1,0,True,0.0,0.0
2014,0,1,0,0,0,0,0,0,3,0,0,0,6,4,3,3,3,15,15,8,7.5,9.0,6.75,0,0,0,0,0,0,59,0.915254237,0.084745763,0.0,0.4,0,100.0,75.0,25.0,1,81.81818182,0,0,1,0,276,8124,8743,0,0,5,62,23,3,0,0,0,0,0,1,4,1,0,True,0.0,0.0
7267,0,1,0,0,0,0,0,0,3,1,0,0,8,3,2,3,2,9,9,7,5.125,6.0,4.833333333,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,1,1,0,0,136,-1,0,0,1,3,63,20,3,1,0,0,0,0,0,8,1,0,False,0.09523809523809523,0.0
7190,1,1,0,0,0,0,0,0,3,0,0,0,5,6,3,3,3,32,19,32,14.0,11.0,16.0,0,0,0,0,0,0,81,0.851851852,0.148148148,0.333333333,0.166666667,1,75.0,100.0,0.0,0,86.04651163,0,1,0,0,214,152,5008870,0,1,0,86,27,3,0,0,0,0,0,0,4,1,0,True,0.3023255813953488,0.0
4241,0,1,0,0,0,0,0,0,2,0,0,0,2,4,3,3,0,16,16,0,9.5,9.5,0.0,0,0,0,0,0,0,137,0.795620438,0.204379562,0.0,0.035714286,1,47.82608696,93.33333333,6.666666667,0,10.0,0,1,1,0,1549,-1,0,0,0,2,31,23,2,0,0,0,0,0,0,3,1,0,False,0.0,0.0
8550,0,1,0,0,0,0,0,0,2,0,1,0,2,3,3,3,0,10,10,0,6.5,6.5,0.0,0,0,0,0,0,0,43,0.953488372,0.046511628,0.5,0.0,0,100.0,80.0,20.0,0,75.0,0,1,0,0,87,6123,0,0,0,1,26,18,2,0,0,0,0,0,0,3,1,0,False,0.0,0.0
5755,1,0,0,0,0,0,0,0,3,1,1,0,9,2,2,4,2,10,9,10,4.777777778,6.5,4.285714286,0,1,0,0,0,0,270,0.788888889,0.211111111,0.192982456,0.0,1,51.11111111,0.0,100.0,0,90.66666667,0,1,1,0,282,10677,23,0,1,8,63,18,4,1,0,0,0,1,0,5,1,0,True,0.12698412698412698,0.0
6906,0,0,0,0,0,0,0,0,2,0,0,0,5,1,3,4,3,13,9,13,7.8,6.5,8.666666667,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,1,1,0,0,0,554,0,0,1,0,53,17,2,1,0,0,0,0,0,4,1,0,False,0.18867924528301888,0.0
3727,0,1,0,0,0,1,0,0,2,0,0,0,5,3,1,3,1,6,6,4,3.2,4.5,2.333333333,1,0,0,0,0,0,356,0.893258427,0.106741573,0.026315789,0.0,0,100.0,7.692307692,92.30769231,0,93.93939394,0,0,0,0,0,-1,2442573,0,0,6,31,13,2,0,0,0,0,0,0,5,1,0,True,0.03225806451612903,0.0
846,0,1,0,0,0,0,0,0,3,0,0,0,7,4,2,3,2,8,5,8,4.0,4.0,4.0,0,0,0,0,0,0,18,1.0,0.0,0.0,0.0,0,100.0,100.0,0.0,0,100.0,0,0,1,0,768,1422,348969,0,0,1,46,14,3,1,0,1,0,1,0,3,1,0,False,0.08695652173913043,0.21428571428571427
1868,0,0,0,0,0,0,0,0,2,0,0,0,1,0,5,5,0,5,5,0,5.0,5.0,0.0,0,0,0,0,0,0,146,0.931506849,0.068493151,0.0,0.0,0,91.30434783,100.0,0.0,0,46.66666667,0,1,1,0,1196,-1,0,0,0,4,18,11,2,0,0,0,0,0,0,2,1,0,False,0.0,0.0
1867,0,0,0,0,0,0,0,0,2,0,0,0,3,0,5,14,5,14,14,10,9.666666667,14.0,7.5,0,0,0,0,0,0,20,1.0,0.0,0.0,0.0,0,100.0,100.0,0.0,0,0.0,0,1,0,0,0,-1,0,0,1,0,46,21,2,0,0,0,0,0,0,5,1,0,False,0.043478260869565216,0.0
9293,0,1,0,0,0,0,0,0,2,0,0,0,3,3,3,3,14,14,9,14,8.666666667,6.0,14.0,0,1,0,0,0,0,62,1.0,0.0,0.0,0.0,0,100.0,0.0,0.0,0,0.0,0,0,0,0,2509,5891,35,0,0,10,41,17,2,0,0,0,0,0,0,4,1,0,True,0.0,0.0
9041,1,0,0,0,0,0,0,0,3,0,0,0,16,3,1,7,1,17,7,17,6.25,7.0,6.2,0,0,0,0,1,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,1,1,0,0,98,3386,0,0,1,1,128,12,7,0,0,1,2,3,0,6,1,2,False,0.265625,0.0
10163,0,1,0,0,0,0,0,0,3,0,0,0,12,4,2,3,2,11,9,11,6.083333333,6.0,6.1,0,0,0,0,0,0,11,1.0,0.0,0.0,0.0,0,100.0,0.0,0.0,0,0.0,0,1,0,0,198,3454,389882,0,1,4,95,17,3,0,0,0,0,0,7,4,1,0,False,0.0,0.0
5651,0,0,0,0,0,0,0,0,2,1,0,0,4,0,3,8,3,15,15,9,8.75,11.5,6.0,0,0,0,0,0,0,4,0.75,0.25,0.0,0.0,0,100.0,0.0,0.0,0,0.0,0,1,0,0,363,1,9657236,0,0,0,50,28,2,1,0,0,0,0,0,3,1,0,True,0.0,0.0
2322,0,1,0,0,0,0,0,0,2,0,0,0,2,3,3,3,0,18,18,0,10.5,10.5,0.0,0,0,0,0,0,0,60,0.733333333,0.266666667,0.0,0.125,1,60.0,100.0,0.0,0,53.84615385,0,1,1,0,179,4499,0,0,0,2,35,26,2,0,0,0,0,0,0,3,1,0,True,0.0,0.0
7110,0,0,0,0,0,0,0,0,2,0,0,0,1,0,6,6,0,6,6,0,6.0,6.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,1,1,0,1,0,2208,0,0,0,0,20,12,2,0,0,0,0,0,0,3,1,0,False,0.0,0.0
2534,0,1,0,0,0,0,0,0,3,0,0,0,6,4,3,3,3,12,12,10,7.166666667,7.5,7.0,0,0,0,0,0,0,32,0.8125,0.1875,0.0,0.333333333,1,20.0,100.0,0.0,0,100.0,0,1,0,0,237,2685,188662,0,0,4,59,20,3,0,0,0,0,0,1,4,1,0,False,0.0,0.0
10578,0,0,0,0,0,0,0,0,2,0,0,0,4,0,2,9,2,10,10,7,7.0,9.5,4.5,0,0,0,0,0,0,162,0.827160494,0.172839506,0.607142857,0.035714286,1,57.14285714,100.0,0.0,0,50.0,0,0,0,0,213,2344,233673,0,1,2,46,26,2,0,0,0,0,0,0,5,1,0,False,0.021739130434782608,0.0
7971,1,0,0,0,0,0,0,0,3,0,0,0,14,3,2,14,2,22,14,22,9.714285714,14.0,9.384615385,1,0,0,0,0,0,31,0.483870968,0.516129032,0.4375,0.625,1,66.66666667,100.0,0.0,0,0.0,0,1,1,0,540,-1,0,0,1,0,159,17,3,6,1,0,2,1,0,3,1,2,False,0.33962264150943394,0.0
1839,0,1,0,0,0,0,0,0,2,0,0,0,2,4,3,3,0,4,4,0,3.5,3.5,0.0,0,0,0,0,0,0,379,0.947229551,0.052770449,0.05,0.05,1,85.96491228,96.55172414,3.448275862,0,37.5,0,1,1,0,221,-1,492590,0,0,5,20,12,2,0,0,0,0,0,0,2,1,0,True,0.0,0.0
8749,0,1,0,0,0,0,0,0,3,1,0,0,10,3,3,3,3,10,10,10,6.5,6.5,6.5,0,0,0,0,0,0,173,0.300578035,0.699421965,0.033057851,0.008264463,1,0.0,0.0,100.0,0,60.86956522,0,0,0,0,352,5857,199672,0,1,5,88,20,3,5,0,0,0,0,0,5,1,0,True,0.0,0.0
2141,0,1,0,0,0,0,0,0,3,0,0,0,2,4,3,3,0,5,5,0,4.0,4.0,0.0,0,0,0,0,0,0,54,0.907407407,0.092592593,0.0,0.0,0,96.42857143,75.0,25.0,0,83.33333333,0,0,1,0,123,3165,799767,0,0,4,25,16,3,0,0,0,0,0,0,3,1,0,True,0.2,0.3125
2743,0,1,0,0,0,0,0,0,2,0,0,0,4,3,3,3,3,12,12,4,5.5,7.5,3.5,0,0,0,0,0,0,27,0.888888889,0.111111111,0.0,0.0,1,90.0,0.0,0.0,0,100.0,0,1,1,0,92,1734,0,0,1,3,36,20,2,0,0,0,0,0,0,4,1,0,False,0.0,0.0
521,0,0,0,0,0,0,0,0,1,0,0,0,2,1,9,11,9,11,11,9,10.0,11.0,9.0,0,0,0,0,0,0,201,0.970149254,0.029850746,0.666666667,0.0,0,100.0,66.66666667,33.33333333,0,44.44444444,0,1,1,0,381,7655,433,0,0,7,34,15,1,0,0,0,0,0,0,4,1,0,True,0.0,0.0
6129,0,1,0,0,0,0,0,0,2,0,0,0,3,4,3,3,3,18,18,3,8.0,10.5,3.0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,1,1,0,0,166,199,0,0,1,2,38,26,2,0,0,0,0,0,0,4,1,0,False,0.0,0.0
1604,0,1,0,0,0,0,0,0,2,0,0,0,2,3,3,3,0,11,11,0,7.0,7.0,0.0,0,0,0,0,0,0,486,0.514403292,0.485596708,0.004237288,0.0,1,81.48148148,0.0,100.0,0,50.0,0,1,1,0,288,1903,328534,0,0,2,28,19,2,0,0,0,0,0,0,3,1,0,True,0.0,0.0
9826,0,0,0,0,0,0,0,0,2,0,1,0,2,0,8,8,0,15,15,0,11.5,11.5,0.0,0,1,0,0,0,0,25,0.44,0.56,0.357142857,0.0,1,46.15384615,0.0,0.0,0,57.14285714,0,1,1,0,373,7296,1488112,0,0,5,36,28,2,0,0,0,0,0,0,3,1,0,False,0.0,0.0
3889,0,1,0,0,0,0,0,0,2,0,0,0,2,3,3,3,0,8,8,0,5.5,5.5,0.0,0,0,0,0,0,0,101,0.643564356,0.356435644,0.166666667,0.055555556,0,100.0,30.0,70.0,0,58.49056604,0,0,0,0,137,8416,263599,0,0,4,24,15,2,0,0,0,0,0,0,3,1,0,True,0.0,0.0
4843,0,1,0,0,0,0,0,0,3,0,0,0,6,3,1,3,1,17,17,7,6.166666667,10.0,4.25,0,0,0,0,0,0,51,1.0,0.0,0.0,0.0,0,0.0,100.0,0.0,0,100.0,0,1,1,0,169,7501,3805267,0,0,5,53,25,3,0,0,0,0,0,1,4,1,0,False,0.0,0.0
403,0,0,0,0,0,0,0,0,1,0,0,0,2,0,1,1,3,3,1,3,2.0,1.0,3.0,0,0,0,0,0,0,56,0.0,1.0,0.017857143,0.0,1,0.0,0.0,100.0,0,0.0,0,1,1,0,0,-1,0,0,1,4,15,4,1,0,0,0,0,0,0,3,1,0,False,0.06666666666666667,0.25
